Year,LFA27,LFA28,LFA29,LFA30,LFA31a,LFA31b,LFA32,LFA33,LFA34,LFA35,LFA36,LFA37,LFA38
1997,70,81,81,81,81,81,81,81,81,81,81,81,81
1998,71.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,81,81,82.5,82.5
1999,73,84,84,82.5,84,84,84,82.5,82.5,81.8,81.8,82.5,82.5
2000,73,84,84,82.5,86,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2001,74.5,84,84,82.5,86,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2002,76,84,84,82.5,86,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2003,76,84,84,82.5,86,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2004,76,84,84,82.5,84,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2005,76,84,84,82.5,84,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2006,76,84,84,82.5,84,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2007,77.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2008,79,84,84,82.5,82.5,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2009,81,84,84,82.5,82.5,82.5,82.5,82.5,82.5,81.8,82.5,82.5,82.5
2010,81,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2011,81,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2012,81,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2013,81,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2014,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2015,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2016,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2017,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2018,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2019,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2020,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2021,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2022,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2023,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2024,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2025,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2026,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
2027,82.5,84,84,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
