LFA,Year,MLS,RefLower,RefUpper,ExpLower,ExpUpper,FSRSRefLower,FSRSRefUpper,FSRSExpLower,FSRSExpUpper
33,1999,82.5,76,81,82,90,9,9,10,10
34,1999,82.5,76,81,82,90,9,9,10,10
35,1999,82.5,76,81,82,90,9,9,10,10
27,2000,73,71,73,73,81,8,8,8,9
29,2000,84,76,84,85,90,9,10,10,10
30,2000,82.5,76,82.5,83,90,9,10,10,10
31a,2000,86,76,81,86,90,9,9,10,10
31b,2000,82.5,76,81,84,90,9,9,10,10
32,2000,82.5,76,81,82,90,9,9,10,10
33,2000,82.5,76,81,82,90,9,9,10,10
34,2000,82.5,76,81,82,90,9,9,10,10
35,2000,82.5,76,81,82,90,9,9,10,10
27,2001,74.5,71,74.5,74.5,81,8,8,8,9
29,2001,84,76,84,85,90,9,10,10,10
30,2001,82.5,76,82.5,83,90,9,10,10,10
31a,2001,86,76,81,86,90,9,9,10,10
31b,2001,82.5,76,81,84,90,9,9,10,10
32,2001,82.5,76,81,82,90,9,9,10,10
33,2001,82.5,76,81,82,90,9,9,10,10
34,2001,82.5,76,81,82,90,9,9,10,10
35,2001,82.5,76,81,82,90,9,9,10,10
27,2002,76,71,76,76,81,8,8,8,9
29,2002,84,76,84,85,90,9,10,10,10
30,2002,82.5,76,82.5,83,90,9,10,10,10
31a,2002,86,76,81,86,90,9,9,10,10
31b,2002,82.5,76,81,84,90,9,9,10,10
32,2002,82.5,76,81,82,90,9,9,10,10
33,2002,82.5,76,81,82,90,9,9,10,10
34,2002,82.5,76,81,82,90,9,9,10,10
35,2002,82.5,76,81,82,90,9,9,10,10
27,2003,76,71,76,76,81,8,8,8,9
29,2003,84,76,84,85,90,9,10,10,10
30,2003,82.5,76,82.5,83,90,9,10,10,10
31a,2003,86,76,81,86,90,9,9,10,10
31b,2003,82.5,76,81,84,90,9,9,10,10
32,2003,82.5,76,81,82,90,9,9,10,10
33,2003,82.5,76,81,82,90,9,9,10,10
34,2003,82.5,76,81,82,90,9,9,10,10
35,2003,82.5,76,81,82,90,9,9,10,10
27,2004,76,71,76,76,81,8,8,8,9
29,2004,84,76,84,85,90,9,10,10,10
30,2004,82.5,76,82.5,83,90,9,10,10,10
31a,2004,84,76,81,84,90,9,9,10,10
31b,2004,82.5,76,81,84,90,9,9,10,10
32,2004,82.5,76,81,82,90,9,9,10,10
33,2004,82.5,76,81,82,90,9,9,10,10
34,2004,82.5,76,81,82,90,9,9,10,10
35,2004,82.5,76,81,82,90,9,9,10,10
27,2005,76,71,76,76,81,8,9,9,9
29,2005,84,76,84,85,90,9,10,10,10
30,2005,82.5,76,82.5,83,90,9,10,10,10
31a,2005,84,76,81,84,90,9,10,10,10
31b,2005,82.5,76,81,84,90,9,10,10,10
32,2005,82.5,76,81,82,90,9,10,10,10
33,2005,82.5,76,81,82,90,9,10,10,10
34,2005,82.5,76,81,82,90,9,10,10,10
35,2005,82.5,76,81,82,90,9,10,10,10
27,2006,76,71,76,76,81,8,9,9,9
29,2006,84,76,84,85,90,9,10,10,10
30,2006,82.5,76,82.5,83,90,9,10,10,10
31a,2006,84,76,81,84,90,9,10,10,10
31b,2006,82.5,76,81,84,90,9,10,10,10
32,2006,82.5,76,81,82,90,9,10,10,10
33,2006,82.5,76,81,82,90,9,10,10,10
34,2006,82.5,76,81,82,90,9,10,10,10
35,2006,82.5,76,81,82,90,9,10,10,10
27,2007,77.5,71,76,77.5,81,8,9,9,9
29,2007,84,76,84,85,90,9,10,10,10
30,2007,82.5,76,82.5,83,90,9,10,10,10
31a,2007,82.5,76,81,84,90,9,10,10,10
31b,2007,82.5,76,81,84,90,9,10,10,10
32,2007,82.5,76,81,82,90,9,10,10,10
33,2007,82.5,76,81,82,90,9,10,10,10
34,2007,82.5,76,81,82,90,9,10,10,10
35,2007,82.5,76,81,82,90,9,10,10,10
27,2008,79,71,76,79,90,8,10,9,10
29,2008,84,76,84,85,90,9,10,10,10
30,2008,82.5,76,82.5,83,90,9,10,10,10
31a,2008,82.5,76,81,84,90,9,10,10,10
31b,2008,82.5,76,81,84,90,9,10,10,10
32,2008,82.5,76,81,82,90,9,10,10,10
33,2008,82.5,76,81,82,90,9,10,10,10
34,2008,82.5,76,81,82,90,9,10,10,10
35,2008,82.5,76,81,82,90,9,10,10,10
27,2009,81,71,81,81,90,8,10,10,10
29,2009,84,76,84,85,90,9,10,10,10
30,2009,82.5,76,82.5,83,90,9,10,10,10
31a,2009,82.5,76,81,84,90,9,10,10,10
31b,2009,82.5,76,81,84,90,9,10,10,10
32,2009,82.5,76,81,82,90,9,10,10,10
33,2009,82.5,76,81,82,90,9,10,10,10
34,2009,82.5,76,81,82,90,9,10,10,10
35,2009,82.5,76,81,82,90,9,10,10,10
27,2010,81,71,81,81,90,8,10,10,10
29,2010,84,76,84,85,90,9,10,10,10
30,2010,82.5,76,82.5,83,90,9,10,10,10
31a,2010,82.5,76,81,84,90,9,10,10,10
31b,2010,82.5,76,81,84,90,9,10,10,10
32,2010,82.5,76,81,82,90,9,10,10,10
33,2010,82.5,76,81,82,90,9,10,10,10
34,2010,82.5,76,81,82,90,9,10,10,10
35,2010,82.5,76,81,82,90,9,10,10,10
27,2011,81,71,81,81,90,8,10,10,10
29,2011,84,76,84,85,90,9,10,10,10
30,2011,82.5,76,82.5,83,90,9,10,10,10
31a,2011,82.5,76,81,84,90,9,10,10,10
31b,2011,82.5,76,81,84,90,9,10,10,10
32,2011,82.5,76,81,82,90,9,10,10,10
33,2011,82.5,76,81,82,90,9,10,10,10
34,2011,82.5,76,81,82,90,9,10,10,10
35,2011,82.5,76,81,82,90,9,10,10,10
27,2012,81,71,81,81,90,8,10,10,10
29,2012,84,76,84,85,90,9,10,10,10
30,2012,82.5,76,82.5,83,90,9,10,10,10
31a,2012,82.5,76,81,84,90,9,10,10,10
31b,2012,82.5,76,81,84,90,9,10,10,10
32,2012,82.5,76,81,82,90,9,10,10,10
33,2012,82.5,76,81,82,90,9,10,10,10
34,2012,82.5,76,81,82,90,9,10,10,10
35,2012,82.5,76,81,82,90,9,10,10,10
27,2013,81,71,81,81,90,8,10,10,10
29,2013,84,76,84,85,90,9,10,10,10
30,2013,82.5,76,82.5,83,90,9,10,10,10
31a,2013,82.5,76,81,84,90,9,10,10,10
31b,2013,82.5,76,81,84,90,9,10,10,10
32,2013,82.5,76,81,82,90,9,10,10,10
33,2013,82.5,76,81,82,90,9,10,10,10
34,2013,82.5,76,81,82,90,9,10,10,10
35,2013,82.5,76,81,82,90,9,10,10,10
27,2014,82.5,71,81,82.5,90,8,10,10,10
29,2014,84,76,84,85,90,9,10,10,10
30,2014,82.5,76,82.5,83,90,9,10,10,10
31a,2014,82.5,76,81,84,90,9,10,10,10
31b,2014,82.5,76,81,84,90,9,10,10,10
32,2014,82.5,76,81,82,90,9,10,10,10
33,2014,82.5,76,81,82,90,9,10,10,10
34,2014,82.5,76,81,82,90,9,10,10,10
35,2014,82.5,76,81,82,90,9,10,10,10
27,2015,82.5,71,81,82.5,90,8,10,10,10
29,2015,84,76,84,85,90,9,10,10,10
30,2015,82.5,76,82.5,83,90,9,10,10,10
31a,2015,82.5,76,81,84,90,9,10,10,10
31b,2015,82.5,76,81,84,90,9,10,10,10
32,2015,82.5,76,81,82,90,9,10,10,10
33,2015,82.5,76,81,82,90,9,10,10,10
34,2015,82.5,76,81,82,90,9,10,10,10
35,2015,82.5,76,81,82,90,9,10,10,10
27,2016,82.5,71,81,82.5,90,8,10,10,10
29,2016,84,76,84,85,90,9,10,10,10
30,2016,82.5,76,82.5,83,90,9,10,10,10
31a,2016,82.5,76,81,84,90,9,10,10,10
31b,2016,82.5,76,81,84,90,9,10,10,10
32,2016,82.5,76,81,82,90,9,10,10,10
33,2016,82.5,76,81,82,90,9,10,10,10
34,2016,82.5,76,81,82,90,9,10,10,10
35,2016,82.5,76,81,82,90,9,10,10,10
27,2017,82.5,71,81,82.5,90,8,10,10,10
29,2017,84,76,84,85,90,9,10,10,10
30,2017,82.5,76,82.5,83,90,9,10,10,10
31a,2017,82.5,76,81,84,90,9,10,10,10
31b,2017,82.5,76,81,84,90,9,10,10,10
32,2017,82.5,76,81,82,90,9,10,10,10
33,2017,82.5,76,81,82,90,9,10,10,10
34,2017,82.5,76,81,82,90,9,10,10,10
35,2017,82.5,76,81,82,90,9,10,10,10
27,2018,82.5,71,81,82.5,90,8,10,10,10
29,2018,84,76,84,85,90,9,10,10,10
30,2018,82.5,76,82.5,83,90,9,10,10,10
31a,2018,82.5,76,81,84,90,9,10,10,10
31b,2018,82.5,76,81,84,90,9,10,10,10
32,2018,82.5,76,81,82,90,9,10,10,10
33,2018,82.5,76,81,82,90,9,10,10,10
34,2018,82.5,76,81,82,90,9,10,10,10
35,2018,82.5,76,81,82,90,9,10,10,10
27,2019,82.5,71,81,82.5,90,8,10,10,10
29,2019,84,76,84,85,90,9,10,10,10
30,2019,82.5,76,82.5,83,90,9,10,10,10
31a,2019,82.5,76,81,84,90,9,10,10,10
31b,2019,82.5,76,81,84,90,9,10,10,10
32,2019,82.5,76,81,82,90,9,10,10,10
33,2019,82.5,76,81,82,90,9,10,10,10
34,2019,82.5,76,81,82,90,9,10,10,10
35,2019,82.5,76,81,82,90,9,10,10,10
27,2020,82.5,71,81,82.5,90,15,17,17,18
29,2020,84,76,84,85,90,16,17,17,18
30,2020,82.5,76,82.5,83,90,16,17,17,18
31a,2020,82.5,76,81,84,90,16,17,17,18
31b,2020,82.5,76,81,84,90,16,17,17,18
32,2020,82.5,76,81,82,90,16,17,17,18
33,2020,82.5,76,81,82,90,16,17,17,18
34,2020,82.5,76,81,82,90,16,17,17,18
35,2020,82.5,76,81,82,90,16,17,17,18
27,2021,82.5,71,81,82.5,90,15,17,17,18
29,2021,84,76,84,85,90,16,17,17,18
30,2021,82.5,76,82.5,83,90,16,17,17,18
31a,2021,82.5,76,81,84,90,16,17,17,18
31b,2021,82.5,76,81,84,90,16,17,17,18
32,2021,82.5,76,81,82,90,16,17,17,18
33,2021,82.5,76,81,82,90,16,17,17,18
34,2021,82.5,76,81,82,90,16,17,17,18
35,2021,82.5,76,81,82,90,16,17,17,18
27,2022,82.5,71,81,82.5,90,15,17,17,18
29,2022,84,76,84,85,90,16,17,17,18
30,2022,82.5,76,82.5,83,90,16,17,17,18
31a,2022,82.5,76,81,84,90,16,17,17,18
31b,2022,82.5,76,81,84,90,16,17,17,18
32,2022,82.5,76,81,82,90,16,17,17,18
33,2022,82.5,76,81,82,90,16,17,17,18
34,2022,82.5,76,81,82,90,16,17,17,18
35,2022,82.5,76,81,82,90,16,17,17,18
27,2023,82.5,71,81,82.5,90,15,17,17,18
29,2023,84,76,84,85,90,16,17,17,18
30,2023,82.5,76,82.5,83,90,16,17,17,18
31a,2023,82.5,76,81,84,90,16,17,17,18
31b,2023,82.5,76,81,84,90,16,17,17,18
32,2023,82.5,76,81,82,90,16,17,17,18
33,2023,82.5,76,81,82,90,16,17,17,18
34,2023,82.5,76,81,82,90,16,17,17,18
35,2023,82.5,76,81,82,90,16,17,17,18
27,2024,82.5,71,81,82.5,90,15,17,17,18
29,2024,84,76,84,85,90,16,17,17,18
30,2024,82.5,76,82.5,83,90,16,17,17,18
31a,2024,82.5,76,81,84,90,16,17,17,18
31b,2024,82.5,76,81,84,90,16,17,17,18
32,2024,82.5,76,81,82,90,16,17,17,18
33,2024,82.5,76,81,82,90,16,17,17,18
34,2024,82.5,76,81,82,90,16,17,17,18
35,2024,82.5,76,81,82,90,16,17,17,18
27,2025,82.5,71,81,82.5,90,15,17,17,18
29,2025,84,76,84,85,90,16,17,17,18
30,2025,82.5,76,82.5,83,90,16,17,17,18
31a,2025,82.5,76,81,84,90,16,17,17,18
31b,2025,82.5,76,81,84,90,16,17,17,18
32,2025,82.5,76,81,82,90,16,17,17,18
33,2025,82.5,76,81,82,90,16,17,17,18
34,2025,82.5,76,81,82,90,16,17,17,18
35,2025,82.5,76,81,82,90,16,17,17,18
27,2026,82.5,71,81,82.5,90,15,17,17,18
29,2026,84,76,84,85,90,16,17,17,18
30,2026,82.5,76,82.5,83,90,16,17,17,18
31a,2026,82.5,76,81,84,90,16,17,17,18
31b,2026,82.5,76,81,84,90,16,17,17,18
32,2026,82.5,76,81,82,90,16,17,17,18
33,2026,82.5,76,81,82,90,16,17,17,18
34,2026,82.5,76,81,82,90,16,17,17,18
35,2026,82.5,76,81,82,90,16,17,17,18
